,LATITUDE,LONGITUDE
550449,41.794892235167644,-87.68011422576271
550519,41.90898174298781,-87.80409150742908
550543,41.90707378424905,-87.69583604184227
550567,41.92337765852933,-87.7878578742297
550638,41.922008561882905,-87.76841274599388
550685,41.92038311639225,-87.76843692630553
550778,41.73546454035574,-87.69265962266638
551017,41.78368442665007,-87.60585474691092
551156,41.92444425422242,-87.73911849639622
551273,41.914548941249535,-87.64945531201504
551507,41.891918702155635,-87.65865456976934
551649,41.96553424615273,-87.65016716868294
551814,41.75815133707223,-87.63555808757435
551909,41.78684573892464,-87.64988624642719
552217,41.736160603716826,-87.64522106808624
552476,42.00794864614025,-87.69511069782526
552524,41.977219709525215,-87.77800097262156
552974,41.969845333965246,-87.75763086814608
553091,41.9931601886228,-87.7484821039863
553162,41.98638296861978,-87.83643375397708
553234,41.877259891814624,-87.7110320869562
553329,41.7967447072089,-87.79428866380958
553406,41.99074014010267,-87.66581300476278
553407,41.72896465147645,-87.68122368217455
553408,41.9351089372232,-87.79913507224762
553409,41.94607502129917,-87.80195639398069
553410,41.921483884349286,-87.66709188513559
553411,41.880307325169476,-87.69303585630158
553412,41.97547435696111,-87.83188863773383
553413,41.9733138637925,-87.72467756176702
553414,41.927813509249894,-87.72701303431263
553415,41.9698828327875,-87.75438287742658
553416,41.70740511783126,-87.60667221523491
553417,41.768555890526045,-87.7210869923737
553418,41.77382462851612,-87.58644875714224
553419,41.83222094054088,-87.64477592217438
553420,41.75045635343617,-87.6053632541433
553421,41.968742301512435,-87.7624442097803
553422,41.969595680635784,-87.76490591295338
553423,41.910452736392216,-87.7913085628961
553424,41.70460766628285,-87.68963711958753
553425,41.85010451857165,-87.7220917483531
553426,41.93714716613836,-87.74441834629594
553427,41.9850426420961,-87.76815215478615
553428,41.91909363651703,-87.79775670427124
553429,41.68446143369229,-87.53372301463841
553430,41.77740716847428,-87.58620654970282
553431,41.96703545019651,-87.6981260789065
553432,41.74365709218734,-87.72643422579527
553433,41.81128664727795,-87.73105647147105
553434,41.69767879302293,-87.64634214647918
553435,41.895542601699574,-87.65542424816536
553436,41.80204240167932,-87.74408775005476
553437,41.887808158349756,-87.64854522138359
553438,41.742725611398654,-87.7262279068276
553439,41.72752282915539,-87.59764889828493
553440,41.76643484190554,-87.5667285266227
553441,41.77061952039603,-87.56671434472828
553442,41.872772222188686,-87.76473185047905
553443,41.85370382163392,-87.70394649292271
553444,42.01929659502753,-87.67642786238676
553445,41.86992746440123,-87.68871018865748
553446,41.88841687323832,-87.71482114026932
553447,41.8528260190853,-87.68653567831282
553448,41.86699199133602,-87.69460863867191
553449,41.86701010783426,-87.69329837456898
553450,41.931007892382404,-87.75625884592907
553451,41.77762816475196,-87.78141062035807
553452,41.9796135254313,-87.68944583164604
553453,41.819246696085756,-87.68430532227995
553454,41.86252937656554,-87.70570454286509
553455,41.85370382163392,-87.70394649292271
553456,41.703209433121096,-87.54119331660219
553457,41.983028719895685,-87.77351105649436
553458,41.887885035840824,-87.61766861893602
553459,41.95917821873021,-87.73271583693096
553460,41.910581076236845,-87.67826840667618
553461,41.804135476965754,-87.74198749009386
553462,41.911065331150134,-87.63300048150086
553463,41.92816497615842,-87.6693223126654
553464,41.92127775145258,-87.79526007003588
553465,41.9307219977604,-87.7103454809135
553466,41.908905085348735,-87.75116773989058
553467,41.9561571036796,-87.72170494531612
553468,41.9561571036796,-87.72170494531612
553469,41.99088902192185,-87.76616908690622
553470,41.954020826585065,-87.72777414748239
553471,41.92350783399178,-87.79292057686726
553472,41.880297924112675,-87.65212018836681
553473,41.88027004116253,-87.65386738598002
553474,41.88027351934132,-87.65364902536925
553475,41.88027699711,-87.65343066474605
553476,41.88026192379878,-87.65437689398802
553477,41.97026117103271,-87.79660953533383
553478,41.93422554958617,-87.80123931568468
553479,41.880259725101745,-87.65452292137972
553480,41.880260763990776,-87.6544496808382
553481,41.91797301370767,-87.70909012204712
553482,41.9733138637925,-87.72467756176702
553483,41.72225727300588,-87.58527556507723
553484,41.70302300645592,-87.52938437117214
553485,41.92997759110333,-87.73441418623048
553486,41.993321415144095,-87.76541626342281
553487,41.71579729345971,-87.64357992208025
553488,41.92493008639536,-87.69608878206517
553489,41.88709207291236,-87.61413825449037
553490,41.68312662713374,-87.53419140332903
553491,41.684681689233344,-87.53399386018766
553492,41.691690165121436,-87.53392872671725
553493,41.918985658086655,-87.77569788084699
553494,41.70776862893258,-87.57989906736378
553495,41.872772222188686,-87.76473185047905
553496,41.904293257333705,-87.77558503164008
553497,41.756814928359596,-87.59751590186751
553498,41.90982971151685,-87.73861095911465
553499,41.911304487870105,-87.62587860316864
553500,41.98287646838373,-87.80707684142614
553501,41.976446951085094,-87.80796861074283
553502,41.67538462666333,-87.57553071866164
553503,41.74878519012282,-87.71958955264662
553504,41.975174873583214,-87.768344200415
553505,41.776530275146044,-87.6258160713982
553506,41.91555124127364,-87.72147003643221
553507,41.85412239695828,-87.71034132640797
553508,41.95351429360543,-87.68859943803591
553509,41.95748623656048,-87.66442075582458
553510,41.90891507095367,-87.79492289670353
553511,41.975541358400704,-87.71828027637316
553512,41.802220633424966,-87.60655292996893
553513,41.911304487870105,-87.62587860316864
553514,41.737063945133926,-87.56896220209047
553515,41.930065576023175,-87.7614351660394
553516,41.91250999652171,-87.68429816007355
553517,41.88808206734525,-87.62050117084914
553518,41.993871618715296,-87.76521560256005
553519,41.997147659051976,-87.72408273549507
553520,41.83779489972262,-87.68514875102693
553521,41.996536518972825,-87.66675502628668
553522,41.94907480827999,-87.8036726998603
553523,41.94908715694755,-87.80307588331154
553524,41.72197046522736,-87.60334804007711
553525,41.78726874851543,-87.62565736701293
553526,41.685126369792755,-87.63142108228581
553527,41.92826682230092,-87.6890863833297
553528,41.92826682230092,-87.6890863833297
553529,41.968728170104214,-87.75615006585475
553530,41.95745634268154,-87.72433992542697
553531,41.953553948334104,-87.72652629768923
553532,41.95396842193148,-87.72747859882782
553533,41.95188409204342,-87.72770770928415
553534,41.93997409380809,-87.8034832463987
553535,41.67603078174701,-87.62995973542574
553536,41.869301892911615,-87.65698266595034
553537,41.87133128754764,-87.65696241077886
553538,41.68929619158864,-87.60699060192793
553539,41.91371701645605,-87.63306982825203
553540,41.66680000108971,-87.54822079152619
553541,41.911224555610815,-87.6264825724256
553542,41.74749048438656,-87.61975353530336
553543,41.7453795287027,-87.62373344607198
553544,41.74564207709505,-87.62115995903984
553545,41.69207086882711,-87.65873985739503
553546,41.74566813875988,-87.61954110374394
553547,41.69207319817085,-87.66100305798643
553548,41.741993109104655,-87.6210597002936
553549,41.76690777798583,-87.6458264157106
553550,41.69262697086107,-87.61349415155583
553551,41.694908565225695,-87.67173741035771
553552,41.722600271565035,-87.55573441077465
553553,41.86738420111949,-87.71313391890325
553554,41.992654229135034,-87.81237484194004
553555,41.958669586487076,-87.76977616007922
553556,41.955082008812056,-87.7684331858972
553557,41.95682146634144,-87.77460540621017
553558,41.95499859259565,-87.77454361920374
553559,41.95864857764994,-87.77466468942549
553560,41.955015352610225,-87.77332148441151
553561,41.95679065134189,-87.77705031717367
553562,41.958616561804476,-87.77710906510092
553563,41.8006285835849,-87.68652023062195
553564,41.9401469572139,-87.77369714716059
553565,41.924928123775786,-87.69625430688541
553566,41.709029227458814,-87.68283555972683
553567,41.857474370967786,-87.68596860468548
553568,41.966335276337006,-87.76016128819063
553569,41.90982971151685,-87.73861095911465
553570,41.878731779316865,-87.68402713284112
553571,41.80403387486271,-87.60659434924774
553572,41.82435630760823,-87.7045936543129
553573,41.966413597044436,-87.76087777738171
553574,41.83779489972262,-87.68514875102693
553575,41.911304487870105,-87.62587860316864
553576,41.964692877175324,-87.7231830096757
553577,41.96835128527914,-87.72809167198088
553578,41.911304487870105,-87.62587860316864
553579,41.779877332746246,-87.71123496185413
553580,41.88807333160907,-87.62059446133681
553581,41.88807333160907,-87.62059446133681
553582,41.9316396920584,-87.74687268445575
553583,41.92470345634555,-87.69680035983875
553584,41.92506765707111,-87.70001918882875
553585,41.87468009194542,-87.76480397994328
553586,41.88843841160744,-87.61412199324373
553587,41.910301282773744,-87.6488789122808
553588,41.79490031060324,-87.64259619329245
553589,41.70534195183082,-87.62064503337305
553590,41.94907480827999,-87.8036726998603
553591,41.94908715694755,-87.80307588331154
553592,41.91058364385256,-87.67810342196974
553593,41.909823461438016,-87.63031030724655
553594,41.887714377298884,-87.62067477401091
553595,41.90987702827536,-87.7354853999699
553596,41.77614498816483,-87.68980419843382
553597,41.8878846470662,-87.6205117403242
553598,41.96810465436362,-87.7305377809914
553599,41.92494196691,-87.69491046030079
553600,41.72225727300588,-87.58527556507723
553601,41.960593495451576,-87.76730626505186
553602,41.73616599592239,-87.64485711761948
553603,41.92908264167881,-87.80361258564034
553604,41.69542763293476,-87.67175305703175
553605,41.92127775145258,-87.79526007003588
553606,41.90939056630653,-87.7756631010805
553607,41.984897404295175,-87.71657371113348
553608,41.95866410486917,-87.77344478340777
553609,41.973717271598524,-87.71854895409085
